timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/29 19:50:05.845, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.68 W, 34
2026/04/29 19:50:06.847, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.46 W, 34
2026/04/29 19:50:07.848, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.50 W, 34
2026/04/29 19:50:08.848, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.60 W, 34
2026/04/29 19:50:09.848, 99 %, 89 %, 76935 MiB, 81920 MiB, 250.25 W, 37
2026/04/29 19:50:10.848, 99 %, 89 %, 76935 MiB, 81920 MiB, 253.54 W, 37
2026/04/29 19:50:11.849, 99 %, 89 %, 76935 MiB, 81920 MiB, 251.09 W, 38
2026/04/29 19:50:12.849, 99 %, 89 %, 76935 MiB, 81920 MiB, 252.13 W, 38
2026/04/29 19:50:13.849, 99 %, 89 %, 76935 MiB, 81920 MiB, 253.11 W, 38
2026/04/29 19:50:14.849, 99 %, 89 %, 76935 MiB, 81920 MiB, 253.33 W, 38
2026/04/29 19:50:15.850, 99 %, 89 %, 76935 MiB, 81920 MiB, 253.92 W, 39
2026/04/29 19:50:16.850, 99 %, 89 %, 76935 MiB, 81920 MiB, 246.69 W, 39
2026/04/29 19:50:17.850, 99 %, 88 %, 76935 MiB, 81920 MiB, 245.90 W, 39
2026/04/29 19:50:18.850, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.87 W, 39
2026/04/29 19:50:19.851, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.46 W, 40
2026/04/29 19:50:20.851, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.24 W, 40
2026/04/29 19:50:21.851, 69 %, 61 %, 76935 MiB, 81920 MiB, 248.60 W, 40
2026/04/29 19:50:23.103, 99 %, 89 %, 76935 MiB, 81920 MiB, 82.34 W, 40
2026/04/29 19:50:24.103, 99 %, 89 %, 76935 MiB, 81920 MiB, 78.06 W, 41
2026/04/29 19:50:25.103, 77 %, 68 %, 76935 MiB, 81920 MiB, 245.53 W, 40
2026/04/29 19:50:26.103, 99 %, 89 %, 76935 MiB, 81920 MiB, 70.53 W, 40
2026/04/29 19:50:27.105, 99 %, 88 %, 76935 MiB, 81920 MiB, 69.08 W, 39
2026/04/29 19:50:28.105, 83 %, 74 %, 76935 MiB, 81920 MiB, 72.31 W, 41
2026/04/29 19:50:29.105, 99 %, 88 %, 76935 MiB, 81920 MiB, 67.84 W, 41
2026/04/29 19:50:30.105, 99 %, 89 %, 76935 MiB, 81920 MiB, 249.18 W, 40
2026/04/29 19:50:31.106, 92 %, 82 %, 76935 MiB, 81920 MiB, 66.93 W, 41
2026/04/29 19:50:32.106, 99 %, 88 %, 76935 MiB, 81920 MiB, 250.93 W, 41
2026/04/29 19:50:33.107, 99 %, 89 %, 76935 MiB, 81920 MiB, 251.02 W, 40
2026/04/29 19:50:34.107, 99 %, 89 %, 76935 MiB, 81920 MiB, 66.45 W, 41
2026/04/29 19:50:35.107, 99 %, 89 %, 76935 MiB, 81920 MiB, 250.55 W, 41
2026/04/29 19:50:36.380, 10 %, 8 %, 76935 MiB, 81920 MiB, 66.72 W, 41
2026/04/29 19:50:37.380, 26 %, 23 %, 76935 MiB, 81920 MiB, 66.93 W, 40
2026/04/29 19:50:38.380, 99 %, 88 %, 76935 MiB, 81920 MiB, 69.92 W, 42
2026/04/29 19:50:39.380, 23 %, 21 %, 76935 MiB, 81920 MiB, 67.04 W, 41
2026/04/29 19:50:40.381, 20 %, 17 %, 76935 MiB, 81920 MiB, 109.70 W, 42
2026/04/29 19:50:41.381, 99 %, 88 %, 76935 MiB, 81920 MiB, 71.52 W, 42
2026/04/29 19:50:42.381, 13 %, 12 %, 76935 MiB, 81920 MiB, 67.43 W, 42
2026/04/29 19:50:43.843, 99 %, 88 %, 76935 MiB, 81920 MiB, 251.78 W, 44
2026/04/29 19:50:44.843, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.24 W, 44
2026/04/29 19:50:45.843, 7 %, 6 %, 76935 MiB, 81920 MiB, 248.90 W, 41
2026/04/29 19:50:46.844, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.51 W, 44
2026/04/29 19:50:47.844, 99 %, 88 %, 76935 MiB, 81920 MiB, 252.57 W, 44
2026/04/29 19:50:48.844, 0 %, 0 %, 76935 MiB, 81920 MiB, 251.81 W, 44
2026/04/29 19:50:49.844, 99 %, 89 %, 76935 MiB, 81920 MiB, 248.07 W, 44
2026/04/29 19:50:50.845, 99 %, 89 %, 76935 MiB, 81920 MiB, 251.21 W, 44
2026/04/29 19:50:51.845, 0 %, 0 %, 76935 MiB, 81920 MiB, 251.73 W, 45
2026/04/29 19:50:52.845, 99 %, 89 %, 76935 MiB, 81920 MiB, 247.77 W, 45
2026/04/29 19:50:54.149, 80 %, 72 %, 76935 MiB, 81920 MiB, 215.91 W, 43
2026/04/29 19:50:55.150, 78 %, 69 %, 76935 MiB, 81920 MiB, 161.49 W, 43
2026/04/29 19:50:56.150, 99 %, 89 %, 76935 MiB, 81920 MiB, 251.42 W, 45
2026/04/29 19:50:57.150, 73 %, 65 %, 76935 MiB, 81920 MiB, 112.25 W, 43
2026/04/29 19:50:58.150, 72 %, 64 %, 76935 MiB, 81920 MiB, 104.29 W, 43
2026/04/29 19:50:59.151, 99 %, 88 %, 76935 MiB, 81920 MiB, 69.57 W, 45
2026/04/29 19:51:00.151, 66 %, 59 %, 76935 MiB, 81920 MiB, 82.45 W, 43
2026/04/29 19:51:01.151, 63 %, 56 %, 76935 MiB, 81920 MiB, 76.39 W, 44
2026/04/29 19:51:02.151, 62 %, 55 %, 76935 MiB, 81920 MiB, 252.13 W, 44
2026/04/29 19:51:03.152, 58 %, 52 %, 76935 MiB, 81920 MiB, 71.86 W, 44
2026/04/29 19:51:04.152, 99 %, 88 %, 76935 MiB, 81920 MiB, 250.65 W, 44
