timestamp, name, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu
2026/04/29 19:35:24.804, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.31 W, 33
2026/04/29 19:35:25.807, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:35:26.807, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.90 W, 33
2026/04/29 19:35:27.808, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.16 W, 33
2026/04/29 19:35:28.808, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.08 W, 33
2026/04/29 19:35:29.808, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.02 W, 33
2026/04/29 19:35:30.808, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.80 W, 33
2026/04/29 19:35:31.809, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:35:32.809, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.22 W, 33
2026/04/29 19:35:33.809, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.10 W, 33
2026/04/29 19:35:34.809, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.08 W, 33
2026/04/29 19:35:35.810, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.01 W, 33
2026/04/29 19:35:36.810, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.60 W, 33
2026/04/29 19:35:37.810, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.01 W, 33
2026/04/29 19:35:38.811, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.08 W, 33
2026/04/29 19:35:39.811, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.18 W, 33
2026/04/29 19:35:40.812, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.11 W, 33
2026/04/29 19:35:41.812, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.11 W, 33
2026/04/29 19:35:42.812, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.14 W, 33
2026/04/29 19:35:43.813, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.54 W, 33
2026/04/29 19:35:44.813, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.16 W, 33
2026/04/29 19:35:45.813, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 63.95 W, 33
2026/04/29 19:35:46.814, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.35 W, 33
2026/04/29 19:35:47.814, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.14 W, 33
2026/04/29 19:35:48.814, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.64 W, 33
2026/04/29 19:35:49.814, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.14 W, 33
2026/04/29 19:35:50.815, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.14 W, 33
2026/04/29 19:35:51.815, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.25 W, 33
2026/04/29 19:35:52.815, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.33 W, 33
2026/04/29 19:35:53.816, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.35 W, 33
2026/04/29 19:35:54.816, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.14 W, 33
2026/04/29 19:35:55.816, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.16 W, 33
2026/04/29 19:35:56.816, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.10 W, 33
2026/04/29 19:35:57.818, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.58 W, 33
2026/04/29 19:35:58.818, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.40 W, 33
2026/04/29 19:35:59.818, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.31 W, 33
2026/04/29 19:36:00.819, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.19 W, 33
2026/04/29 19:36:01.819, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.19 W, 33
2026/04/29 19:36:02.819, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.60 W, 32
2026/04/29 19:36:03.820, NVIDIA A100 80GB PCIe, 0 %, 0 %, 76935 MiB, 81920 MiB, 64.78 W, 32
