engine_name,setting_label,category,avg_latency_sec,avg_tokens_per_sec,avg_input_tokens,avg_output_tokens,num_prompts
hf_transformers,default_output,coding,1.5116610773839056,42.35853005999467,12.0,64.0,4
hf_transformers,default_output,long_context,1.507066862192005,42.49976622497611,47.0,64.0,4
hf_transformers,default_output,reasoning,1.4855302250944078,43.0954324381142,24.25,64.0,4
hf_transformers,default_output,short_qa,1.5029277056455612,42.61971102950322,8.25,64.0,4
hf_transformers,default_output,summarization,1.2728031179867685,41.52581454138477,25.75,54.0,4
hf_transformers,long_output,coding,2.3983343723230064,40.14421127187964,12.0,96.0,4
hf_transformers,long_output,long_context,2.2715136441402137,42.341958953475405,47.0,96.0,4
hf_transformers,long_output,reasoning,2.345330802258104,41.02462781894761,24.25,96.0,4
hf_transformers,long_output,short_qa,2.2410345347598195,42.89579720767477,8.25,96.0,4
hf_transformers,long_output,summarization,1.9282992323860526,38.82260185739839,25.75,73.0,4
hf_transformers,short_output,coding,0.7403154922649264,43.23905045193518,12.0,32.0,4
hf_transformers,short_output,long_context,0.7651560907252133,41.88721992575564,47.0,32.0,4
hf_transformers,short_output,reasoning,0.7424327097833157,43.11632609534506,24.25,32.0,4
hf_transformers,short_output,short_qa,0.7391975657083094,43.30614264155295,8.25,32.0,4
hf_transformers,short_output,summarization,0.6993759414181113,42.90268015982407,25.75,30.0,4
tensorrt_llm,default_output,coding,1.260398279875517,50.77763502434341,12.0,64.0,4
tensorrt_llm,default_output,long_context,1.2649769564159214,50.59474696318739,47.0,64.0,4
tensorrt_llm,default_output,reasoning,1.260615112259984,50.768955644810745,24.25,64.0,4
tensorrt_llm,default_output,short_qa,1.2607779409736395,50.76235104796564,8.25,64.0,4
tensorrt_llm,default_output,summarization,1.0660802139900625,50.096113214428115,25.75,53.75,4
tensorrt_llm,long_output,coding,1.888186672469601,50.842464567468625,12.0,96.0,4
tensorrt_llm,long_output,long_context,1.8938287673518062,50.69125773465057,47.0,96.0,4
tensorrt_llm,long_output,reasoning,1.8911332285497338,50.76321564229487,24.25,96.0,4
tensorrt_llm,long_output,short_qa,1.8900643102824688,50.791954345805976,8.25,96.0,4
tensorrt_llm,long_output,summarization,1.5346933393739164,50.227752244751876,25.75,77.75,4
tensorrt_llm,short_output,coding,0.632155395578593,50.62048282072873,12.0,32.0,4
tensorrt_llm,short_output,long_context,0.6424381772521883,49.8185843614615,47.0,32.0,4
tensorrt_llm,short_output,reasoning,0.6322125806473196,50.61590947879816,24.25,32.0,4
tensorrt_llm,short_output,short_qa,0.6358007837552577,50.33325310533036,8.25,32.0,4
tensorrt_llm,short_output,summarization,0.5937180239707232,49.99154574051165,25.75,29.75,4
vllm,default_output,coding,1.2707211822271347,50.36512386613982,12.0,64.0,4
vllm,default_output,long_context,1.2746350644156337,50.21133038151971,47.0,64.0,4
vllm,default_output,reasoning,1.2708564172498882,50.35974401851449,24.25,64.0,4
vllm,default_output,short_qa,1.271186896134168,50.3466627501393,8.25,64.0,4
vllm,default_output,summarization,1.0741548435762525,49.66976721257632,25.75,53.75,4
vllm,long_output,coding,1.9034248511306942,50.435410525148896,12.0,96.0,4
vllm,long_output,long_context,1.9066155650652945,50.35139133306717,47.0,96.0,4
vllm,long_output,reasoning,1.9029000108130276,50.44931557355792,24.25,96.0,4
vllm,long_output,short_qa,1.9032049621455371,50.44123779500447,8.25,96.0,4
vllm,long_output,summarization,1.4522214187309146,49.5138955663752,25.75,72.5,4
vllm,short_output,coding,0.6622488130815327,48.47851321721658,12.0,32.0,4
vllm,short_output,long_context,0.6423699166625738,49.819126183272104,47.0,32.0,4
vllm,short_output,reasoning,0.6394525649957359,50.04292670364544,24.25,32.0,4
vllm,short_output,short_qa,0.7990612741559744,43.785780181763656,8.25,32.0,4
vllm,short_output,summarization,0.6001896671950817,49.45071813100776,25.75,29.75,4
