engine_name,setting_label,qps_target,test_duration_sec,total_requests,completed_requests,failed_requests,success_rate,achieved_requests_per_sec,avg_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_output_tokens,avg_tokens_per_sec
vllm,default_output,1,60,60,24,36,0.4,0.3987487637054011,1.1941336095915176,1.192458626581356,1.262092229234986,1.7640885410364715,62.291666666666664,52.55333146489719
vllm,default_output,2,60,120,120,0,1.0,1.9770521995042196,1.166698329076947,1.2029056884348392,1.2118013561004777,1.2130843016551809,61.95,52.96039945874221
vllm,default_output,5,60,300,300,0,1.0,4.9175340998768595,1.1784250946048027,1.2153230179101229,1.2237802273593843,1.225606727343984,61.95,52.44244609695675
vllm,default_output,10,60,600,600,0,1.0,9.815989667044263,1.19512966854653,1.2320928608532995,1.2411203824914991,1.242886063107289,61.95,51.698859687840574
vllm,default_output,15,60,900,900,0,1.0,14.71583067930775,1.176210268540825,1.2128522952552885,1.2216735809808597,1.2235108225699514,61.95,52.54417599779951
vllm,default_output,20,60,1200,1200,0,1.0,19.61612527082705,1.197384918549797,1.2344513591378927,1.2433324082521722,1.2445697969477625,61.95,51.606079347588384
vllm,default_output,25,60,1500,1500,0,1.0,24.513664050475644,1.2440528142849605,1.2837282449472696,1.292997669870965,1.2941638026293367,61.95,49.673532760700645
vllm,default_output,30,60,1800,1800,0,1.0,29.409363277066923,1.2831759933364164,1.324320804560557,1.3333919325610624,1.3351947104511783,61.95,48.15646442780049
vllm,default_output,40,60,2400,2400,0,1.0,38.675956425066104,1.9931113068417956,2.0837841290049255,2.099498024675995,2.1018785867001863,61.95,31.16337391221606
vllm,default_output,50,60,3000,3000,0,1.0,45.495357718203294,2.136082629127428,2.2190367050934583,2.2399640158982947,2.2461138568026944,61.949666666666666,28.992619626800032
tensorrt_llm,default_output,1,60,60,60,0,1.0,0.996428566931766,1.1729593195486814,1.2090190756134689,1.2180607955902816,1.2426600825553755,61.95,52.6941021453121
tensorrt_llm,default_output,2,60,120,120,0,1.0,1.9767192434775644,1.1829840360869033,1.2197689793538302,1.2291572781978175,1.2300205303728582,61.95,52.24932590477271
tensorrt_llm,default_output,5,60,300,300,0,1.0,4.915472655123839,1.1979616384891172,1.2353987232781949,1.244268221501261,1.2450176455965265,61.95,51.59228090984735
tensorrt_llm,default_output,10,60,600,600,0,1.0,9.815213219642525,1.2158961278642528,1.2536709525156766,1.2630140511551873,1.264292746274732,61.95,50.829514276671155
tensorrt_llm,default_output,15,60,900,900,0,1.0,14.712083632191876,1.166923825828255,1.20362637960352,1.2142155855195595,1.227070686253719,61.95,52.983915548272215
tensorrt_llm,default_output,20,60,1200,1200,0,1.0,19.61848400289161,1.1835601095987174,1.2023573839105666,1.2250693025300277,1.814524491513148,61.95,52.46102211223692
tensorrt_llm,default_output,25,60,1500,1500,0,1.0,24.520709440005596,1.1812591078119974,1.2178784306161106,1.227892833156511,1.229563549142331,61.95,52.32391917648427
tensorrt_llm,default_output,30,60,1800,1800,0,1.0,29.420928915763223,1.23411664174404,1.262279029469937,1.3197562042158095,1.326408547302708,61.95,50.10694026705225
tensorrt_llm,default_output,40,60,2400,2400,0,1.0,39.20729496038041,1.449952978946773,1.4893980759661645,1.6108750084647907,1.64069141512271,61.95,42.703160764220655
tensorrt_llm,default_output,50,60,3000,3000,0,1.0,48.85338445087814,1.866734515694591,1.9003262049518528,2.0173767878906803,2.52798772693146,61.95,33.26572177933045
