setting_label,category,avg_latency_sec,min_latency_sec,max_latency_sec,avg_tokens_per_sec,avg_input_tokens,avg_output_tokens,num_prompts
default_output,coding,1.0516925727715716,0.9871466249460354,1.1096434580394998,60.961511118650805,12.75,64.0,4
default_output,long_context,1.1714532392797992,1.036052791052498,1.2844899579649791,54.972831857264495,47.75,64.0,4
default_output,reasoning,1.070329083246179,0.9999057080131024,1.2017990830354393,60.11314449426896,19.75,64.0,4
default_output,short_qa,1.119223646033788,1.0476650840137154,1.1969887500163168,57.38506464559611,8.25,64.0,4
default_output,summarization,1.0855109372350853,1.0355114580597728,1.1272481660125775,59.01533018675244,26.75,64.0,4
long_output,coding,1.7234846772335004,1.6488292920403185,1.802327708923258,55.76157197774231,12.75,96.0,4
long_output,long_context,1.7180670309753623,1.650004249997437,1.7674357499927282,55.91266770371914,47.75,96.0,4
long_output,reasoning,1.6606985313119367,1.5694098330568522,1.725982875097543,57.884857875939815,19.75,96.0,4
long_output,short_qa,1.6841451250074897,1.5461420000065118,1.8005946660414338,57.171582459867636,8.25,96.0,4
long_output,summarization,1.66818707328639,1.6095249170903116,1.80966566700954,57.680053334903896,26.75,96.0,4
short_output,coding,0.5055480627634097,0.4842583750141784,0.5385459590470418,63.40665974420905,12.75,32.0,4
short_output,long_context,0.5617098125221673,0.5326372920535505,0.5777767500840127,57.029758297910035,47.75,32.0,4
short_output,reasoning,0.5620696352561936,0.5378015420865268,0.6029899580171332,57.04091416070125,19.75,32.0,4
short_output,short_qa,0.515676166745834,0.4852954999078065,0.5342639581067488,62.15074745071222,8.25,32.0,4
short_output,summarization,0.5498676355055068,0.4694027500227093,0.5842775419587269,58.664567528180214,26.75,32.0,4
