timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB]
2026/04/23 05:44:14.599, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:15.609, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:16.610, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:17.610, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:18.611, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:19.611, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:20.611, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:21.612, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:22.612, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:23.613, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:24.613, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:25.613, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:26.614, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:27.614, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:28.614, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:29.615, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:30.615, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:31.615, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:32.615, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:33.616, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:34.616, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:35.617, 0 %, 0 %, 21434 MiB, 24576 MiB
2026/04/23 05:44:36.619, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:37.620, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:38.620, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:39.620, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:40.620, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:41.624, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:42.625, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:43.625, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:44.625, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:45.625, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:46.626, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:47.626, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:48.626, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:49.626, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:50.627, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:51.627, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:52.627, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:53.627, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:54.637, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:55.637, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:56.637, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:57.638, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:58.638, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:44:59.638, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:00.638, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:01.639, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:02.639, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:03.639, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:04.639, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:05.639, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:06.641, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:07.641, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:08.641, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:09.641, 0 %, 0 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:10.642, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:11.642, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:12.642, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:13.642, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:14.643, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:15.643, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:16.644, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:17.644, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:18.645, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:19.646, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:20.646, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:21.646, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:22.647, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:23.647, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:24.647, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:25.647, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:26.648, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:27.648, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:28.649, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:29.649, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:30.649, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:31.650, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:32.651, 100 %, 98 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:33.651, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:34.651, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:35.651, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:36.663, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:37.663, 65 %, 65 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:38.664, 100 %, 100 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:39.664, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:40.664, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:41.664, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:42.665, 100 %, 99 %, 21436 MiB, 24576 MiB
2026/04/23 05:45:43.665, 100 %, 99 %, 21436 MiB, 24576 MiB
