engine_name,setting_label,qps_target,test_duration_sec,total_requests,completed_requests,failed_requests,success_rate,achieved_requests_per_sec,avg_latency_sec,p50_latency_sec,p95_latency_sec,p99_latency_sec,avg_output_tokens,avg_tokens_per_sec
vllm,default_output,1,60,60,60,0,1.0,1.0052320766198792,0.6758389085531235,0.6858787080273032,0.692540368065238,0.9609330745600149,61.95,92.05713696272925
vllm,default_output,2,60,120,120,0,1.0,1.9933717194068965,0.6788522752622763,0.7000575615093112,0.7050307327881455,0.7064654231257737,61.95,90.96786903417257
vllm,default_output,5,60,300,300,0,1.0,4.959097426763377,0.678543124999851,0.6993153700605035,0.7044734725728631,0.7065885816700757,61.95,91.04333594834286
vllm,default_output,10,60,600,600,0,1.0,9.899924618269793,0.7009117763737838,0.7221836056560278,0.7277918823994697,0.730303483325988,61.95,88.10746278859996
vllm,default_output,15,60,900,900,0,1.0,14.840088758103034,0.7171199274828864,0.738233644515276,0.7515987729653716,0.7538207936100662,61.95,86.14766678848142
vllm,default_output,20,60,1200,1200,0,1.0,19.779428901897194,0.7187537118978798,0.7407688312232494,0.7460752423852682,0.7489254301786423,61.95,85.95230135054199
vllm,default_output,25,60,1500,1500,0,1.0,24.716111387373374,0.728139984216541,0.7497069695964456,0.7627478749491274,0.7676685494184494,61.95,84.8582475307847
vllm,default_output,30,60,1800,1800,0,1.0,29.656031117045327,0.7366286953300651,0.7587595442309976,0.7663455837406218,0.7684642223268747,61.95,83.85803772460909
vllm,default_output,40,60,2400,2400,0,1.0,39.532000114138725,0.7939325310181206,0.819045789539814,0.8250415542162954,0.826849767100066,61.95,77.83222592430162
vllm,default_output,50,60,3000,3000,0,1.0,49.382409255283456,0.8649287464860826,0.8916545240208507,0.8994087181054056,0.9018522772938012,61.95,71.44438068044234
